,resp_N,resp_Y
셋톱박스모델명_SSE_SMT-E5015/PIS,-0.014029197,0.014029197
셋톱박스모델명_SSE_SMT-E5015/PIV,0.019541963,-0.019541963
셋톱박스모델명_SSE_SMT-H6172,,
셋톱박스모델명_SSE_SMT_E5015,0.006430402,-0.006430402
셋톱박스모델명_TS110,,
셋톱박스제조사명_ ,-0.009449672,0.009449672
셋톱박스제조사명_LG전자(주),0.01579422,-0.01579422
셋톱박스제조사명_가온미디어,0.009428385,-0.009428385
셋톱박스제조사명_다산네트웍스(주),0.010795514,-0.010795514
셋톱박스제조사명_삼성전자(주),-0.005664395,0.005664395
셋톱박스제조사명_주식회사 디엠티,0.020773332,-0.020773332
셋톱박스제조사명_휴맥스,-0.017261854,0.017261854
이동전화채널유형코드_10001,0.006245155,-0.006245155
이동전화채널유형코드_10002,-0.015350182,0.015350182
이동전화채널유형코드_10003,-0.014122948,0.014122948
이동전화채널유형코드__,0.008930111,-0.008930111
이동전화판매경로통합코드_10001,-0.014122948,0.014122948
이동전화판매경로통합코드_10002,,
이동전화판매경로통합코드_10003,0.01934145,-0.01934145
이동전화판매경로통합코드_10004,0.019260599,-0.019260599
이동전화판매경로통합코드_10009,-0.002114093,0.002114093
이동전화판매경로통합코드_10012,0.019260599,-0.019260599
이동전화판매경로통합코드_10015,,
이동전화판매경로통합코드_10020,0.007893413,-0.007893413
이동전화판매경로통합코드_10021,-0.023679731,0.023679731
이동전화판매경로통합코드_10029,-0.009720628,0.009720628
이동전화판매경로통합코드_10030,0.019260599,-0.019260599
이동전화판매경로통합코드_10031,,
이동전화판매경로통합코드_10032,,
이동전화판매경로통합코드_10046,0.007743797,-0.007743797
이동전화판매경로통합코드_10050,-0.008098497,0.008098497
이동전화판매경로통합코드_10052,-0.004295235,0.004295235
이동전화판매경로통합코드_10059,,
이동전화판매경로통합코드_10061,0.030638048,-0.030638048
이동전화판매경로통합코드_10063,-0.011772247,0.011772247
이동전화판매경로통합코드_10067,,
이동전화판매경로통합코드_10069,0.006116034,-0.006116034
이동전화판매경로통합코드_10075,-0.008098497,0.008098497
이동전화판매경로통합코드_10081,-0.011453898,0.011453898
이동전화판매경로통합코드_10082,-0.021490324,0.021490324
이동전화판매경로통합코드_10083,-0.024694001,0.024694001
이동전화판매경로통합코드_10084,,
이동전화판매경로통합코드__,0.008930111,-0.008930111
이동전화판매유형통합코드_10001,-0.014122948,0.014122948
이동전화판매유형통합코드_10002,-0.009720628,0.009720628
이동전화판매유형통합코드_10003,-0.023006744,0.023006744
이동전화판매유형통합코드_10004,-0.001105138,0.001105138
이동전화판매유형통합코드_10005,-0.002114093,0.002114093
이동전화판매유형통합코드_10007,0.01934145,-0.01934145
이동전화판매유형통합코드_10010,-0.021594492,0.021594492
이동전화판매유형통합코드_10012,-0.012357743,0.012357743
이동전화판매유형통합코드_10014,0.028684248,-0.028684248
이동전화판매유형통합코드_10015,,
이동전화판매유형통합코드_10016,0.006116034,-0.006116034
이동전화판매유형통합코드_10017,-0.008098497,0.008098497
이동전화판매유형통합코드_10018,0.019260599,-0.019260599
이동전화판매유형통합코드__,0.008930111,-0.008930111
이전단말기모델명_HW-VNS-L62D,,
이전단말기모델명_SHV-E250K,,
이전단말기모델명__,,
이전달말기유형__,,
이전달말기유형_스마트폰,,
기가인터넷시설제공방식유형_10173,0.019197056,-0.019197056
기가인터넷시설제공방식유형_10607,-0.011064562,0.011064562
기가인터넷시설제공방식유형_10608,-0.031668006,0.031668006
기가인터넷시설제공방식유형_10623,-0.0009507,0.0009507
기가인터넷시설제공방식유형__,0.011361462,-0.011361462
이사계약여부_N,-0.005717803,0.005717803
이사계약여부_Y,0.005717803,-0.005717803
개인정보취급위탁동의여부_N,0.042651944,-0.042651944
개인정보취급위탁동의여부_Y,-0.001352622,0.001352622
개인정보취급위탁동의여부__,-0.0330928,0.0330928
인터넷재약정유형통합코드_10002,-0.07774664,0.07774664
인터넷재약정유형통합코드_10003,-0.069972264,0.069972264
인터넷재약정유형통합코드__,0.115806173,-0.115806173
TV추가단말여부_N,0.034704901,-0.034704901
TV추가단말여부_Y,-0.034704901,0.034704901
최근3개월데이터충전여부_N,-0.005717803,0.005717803
최근3개월데이터충전여부_Y,0.005717803,-0.005717803
올래클럽가입상태_10011,-0.067253313,0.067253313
올래클럽가입상태_10012,,
올래클럽가입상태__,0.067253313,-0.067253313
스폰서할인유형_SIMPLE COURSE,,
스폰서할인유형__,,
스폰서할인유형_요금할인(지원금),,
판매유형__,,
판매유형_순수판매,,
사용유형_업무용,-0.026506722,0.026506722
사용유형_일반,-0.00491639,0.00491639
사용유형_주택용,0.015953304,-0.015953304
납무방법_QOOK집전화합산,0.010795514,-0.010795514
납무방법__,-0.008098497,0.008098497
납무방법_개인(신용카드),-0.011091035,0.011091035
납무방법_신용카드,-0.099959214,0.099959214
납무방법_은행계좌 자동이체,0.046459617,-0.046459617
납무방법_지로,0.074615626,-0.074615626
납무방법_지로자동이체,-0.004414662,0.004414662
resp_N,1,-1
resp_Y,-1,1
